352, MBRREF06, 1/2017, 4653.0, 0.0, 0, 0, 1
353, MBRREF07, 1/2019, 1.0909090909090908, 0.4312196809320517, 0, 5, 16
354, MBRREF07, 12/2018, 1.105263157894737, 0.460338307487787, 0, 12, 31
355, MBRREF07, 11/2018, 2.2222222222222223, 2.896357866163794, 0, 3, 12
356, MBRREF07, 10/2018, 1.894736842105263, 2.7912109783679506, 0, 9, 28
357, MBRREF07, 9/2018, 2.347826086956522, 3.3280045623060195, 0, 8, 31
358, MBRREF07, 8/2018, 2.1363636363636362, 2.941316537744044, 0, 6, 28
359, MBRREF07, 7/2018, 2.3333333333333335, 2.19848432637882, 0, 5, 32
360, MBRREF07, 6/2018, 3.1818181818181817, 4.086361108301372, 0, 4, 26
361, MBRREF07, 5/2018, 6.681818181818182, 7.773026310037098, 0, 6, 28
